2025-07-19 11:49:49 - GET /docs | Status: 200 | Success: True | Took: 0.0095s
[2025-07-26 13:13:09] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:13:09] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.002s
[2025-07-26 13:13:09] DELETE /team/999 | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0034s
[2025-07-26 13:13:09] DELETE /team/999 | 👤 InvalidToken | 📍 testclient | Status: 404 | ⏱️ 0.0043s
[2025-07-26 13:23:13] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:23:13] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.0537s
[2025-07-26 13:23:13] POST /upload/csv | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:23:13] POST /upload/csv | 👤 InvalidToken | 📍 testclient | Status: 201 | ⏱️ 0.0103s
[2025-07-26 13:23:14] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:23:14] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 200 | ⏱️ 0.0s
[2025-07-26 13:23:14] POST /upload/csv | 👤 InvalidToken | 📍 testclient | Status: 307 | ⏱️ 0.0s
[2025-07-26 13:23:14] POST /upload/csv | 👤 InvalidToken | 📍 testclient | Status: 400 | ⏱️ 0.0s
[2025-07-26 13:23:14] POST /auth/login | 👤 Unknown | 📍 testclient | Status: 307 | ⏱️ 0.0s
