[2025-07-28 19:18:59,566] [ERROR] GET /auth/whoami → 401: Invalid access token
[2025-07-28 19:19:00,263] [ERROR] POST /upload/secure-image → 403: Forbidden: You are not authorized
[2025-07-28 19:19:00,313] [ERROR] POST /upload/secure-image → 403: Not authenticated
[2025-07-28 19:19:00,425] [ERROR] GET /gallery → 401: Not authenticated
[2025-07-28 19:19:00,493] [ERROR] POST /upload/secure-image → 403: Forbidden: You are not authorized
[2025-07-28 19:19:00,516] [ERROR] GET /does-not-exist → 404: Not Found
[2025-07-28 19:19:01,465] [ERROR] GET /gallery → 401: Not authenticated
[2025-07-28 19:19:01,955] [ERROR] POST /upload/csv → 403: Forbidden: You are not authorized
[2025-07-28 19:19:02,205] [ERROR] POST /upload/csv-import → 403: Not authenticated
[2025-07-28 20:42:56,989] [ERROR] Login failed for 'ashketchum' – Invalid credentials
[2025-07-28 20:42:57,081] [ERROR] Invalid refresh token
[2025-07-28 21:01:29,248] [ERROR] ❌ Image not found: C:\Users\user\Documents\fastapi_project\uploads\images\does_not_exist.png
[2025-07-28 21:01:29,297] [ERROR] ❌ Battle log not found: nonexistent_logs\battle_log.txt
[2025-07-28 21:41:19,347] [ERROR] ❌ Server error saving file 'hello.txt' by 'ashketchum': 'Settings' object has no attribute 'TESTING'
[2025-07-28 21:41:19,677] [ERROR] ❌ Error previewing file 'data.csv' by 'ashketchum': 'Settings' object has no attribute 'TESTING'
[2025-07-28 21:41:19,734] [ERROR] ❌ Error previewing file 'test.png' by 'ashketchum': 'Settings' object has no attribute 'TESTING'
[2025-07-28 21:46:28,107] [ERROR] ❌ Server error saving file 'hello.txt' by 'ashketchum': 'Settings' object has no attribute 'TESTING'
[2025-07-28 21:46:28,409] [ERROR] ❌ Error previewing file 'data.csv' by 'ashketchum': 'Settings' object has no attribute 'TESTING'
[2025-07-28 21:46:28,485] [ERROR] ❌ Error previewing file 'test.png' by 'ashketchum': 'Settings' object has no attribute 'TESTING'
[2025-07-30 20:26:31,391] [ERROR] ❌ Crash in login_user: 401: Invalid credentials
Traceback (most recent call last):
  File "C:\Users\user\Documents\fastapi_project\auth\hybrid_auth.py", line 91, in login_user
    raise HTTPException(status_code=401, detail="Invalid credentials")
fastapi.exceptions.HTTPException: 401: Invalid credentials
